ID,ime,pozicija,drzava,leto_rojstva,st_tekem,zacetna_poz,minute,goli,asistence,rumeni,rdeci
9,Trent Alexander-Arnold,MF-DF,England,1998,4,2,134,0,0,0,0
14,Joachim Andersen,DF,Denmark,1996,4,4,360,0,0,1,0
15,Robert Andrich,MF,Germany,1994,5,4,318,0,0,2,0
16,Waldemar Anton,DF,Germany,1996,2,0,33,0,0,0,0
22,Alex Baena,MF-FW,Spain,2001,2,0,27,0,0,0,0
23,Alexander Bah,DF-MF,Denmark,1997,4,3,281,0,0,0,0
30,Bradley Barcola,FW-MF,France,2002,3,1,103,0,0,0,0
38,Maximilian Beier,FW,Germany,2002,1,0,26,0,0,0,0
39,Jude Bellingham,MF-FW,England,2003,7,7,670,2,1,2,0
44,Victor Bernth Kristiansen,DF-MF,Denmark,2002,4,2,156,0,1,0,0
51,Jarrod Bowen,FW,England,1996,2,0,37,0,0,0,0
58,Jacob Bruun Larsen,FW,Denmark,1998,1,0,10,0,0,0,0
64,Eduardo Camavinga,MF,France,2002,4,1,169,0,0,1,0
66,Emre Can,MF,Germany,1994,4,1,102,1,0,0,0
67,Joao Cancelo,DF-MF,Portugal,1994,4,4,345,0,0,1,0
69,Dani Carvajal,DF,Spain,1992,5,5,469,1,0,3,1
78,Andreas Christensen,DF,Denmark,1996,4,4,350,0,0,0,0
83,Kingsley Coman,MF,France,1996,1,0,16,0,0,0,0
84,Francisco Conceicao,FW-MF,Portugal,2002,4,1,182,1,0,1,0
85,Diogo Costa,GK,Portugal,1999,5,5,510,0,0,0,0
89,Marc Cucurella,DF,Spain,1998,6,6,545,0,1,0,0
91,Diogo Dalot,DF-MF,Portugal,1999,2,2,152,0,0,0,0
92,Mikkel Damsgaard,FW,Denmark,2000,1,0,34,0,0,0,0
101,Thomas Delaney,MF,Denmark,1991,3,1,84,0,0,0,0
102,Ousmane Dembele,FW-MF,France,1997,5,4,361,0,0,1,0
105,Ruben Dias,DF,Portugal,1997,4,4,420,0,0,0,0
109,Kasper Dolberg,FW,Denmark,1997,2,0,40,0,0,0,0
124,Christian Eriksen,MF-FW,Denmark,1992,4,4,348,1,0,0,0
125,Eberechi Eze,DF-MF,England,1998,3,0,102,0,0,0,0
128,Joao Felix,MF-FW,Portugal,1999,2,1,105,0,0,0,0
129,Bruno Fernandes,MF,Portugal,1994,4,4,374,1,0,0,0
131,Phil Foden,FW-MF,England,2000,7,7,617,0,0,1,0
132,Youssouf Fofana,MF,France,1999,3,0,41,0,0,0,0
138,Chris Fuhrich,FW,Germany,1998,1,0,19,0,0,0,0
139,Niclas Fullkrug,FW,Germany,1993,5,0,166,2,0,0,0
142,Conor Gallagher,MF,England,2000,5,1,120,0,0,1,0
146,Olivier Giroud,FW,France,1986,4,0,59,0,0,0,0
149,Anthony Gordon,FW,England,2001,1,0,2,0,0,0,0
152,Antoine Griezmann,MF-FW,France,1991,6,4,394,0,0,1,0
154,Alex Grimaldo,DF,Spain,1995,2,1,115,0,0,0,0
155,Pascal GroB,MF,Germany,1991,1,0,45,0,0,0,0
158,Marc Guehi,DF,England,2000,6,6,570,0,1,2,0
161,Alkay Gundoayan,MF,Germany,1990,5,5,383,1,1,0,0
171,Kai Havertz,FW-MF,Germany,1999,5,5,389,2,1,0,0
173,Benjamin Henrichs,DF,Germany,1997,1,0,10,0,0,0,0
174,Theo Hernandez,DF,France,1997,6,6,570,0,0,0,0
175,Morten Hjulmand,MF,Denmark,1999,3,3,245,1,0,2,0
181,Pierre Hojbjerg,MF,Denmark,1995,4,4,353,0,0,0,0
182,Rasmus Hojlund,FW,Denmark,2003,4,4,286,0,0,0,0
185,Goncalo Inacio,DF,Portugal,2001,2,1,118,0,0,0,0
189,Joselu,FW,Spain,1990,2,1,90,0,0,0,0
190,Diogo Jota,FW-MF,Portugal,1996,3,0,100,0,0,0,0
198,Harry Kane,FW,England,1993,7,7,601,3,0,2,0
199,N'Golo Kante,MF,France,1991,6,6,511,0,0,0,0
204,Joshua Kimmich,DF,Germany,1995,5,5,480,0,2,0,0
210,Randal Kolo Muani,FW,France,1998,5,2,201,1,0,0,0
212,Ezri Konsa,DF,England,1997,3,1,93,0,0,0,0
214,Jules Kounde,DF,France,1998,6,6,570,0,0,0,0
219,Toni Kroos,MF,Germany,1990,5,5,469,0,0,1,0
230,Aymeric Laporte,DF,Spain,1994,6,6,525,0,0,0,0
231,Robin Le Normand,DF,Spain,1996,6,5,442,0,0,2,0
