leto;ime;priimek;kategorija;spol;datum rojstva;drzava rojstva
1992;Derek;Walcott;literature;male;23-01-1930;LC
1967;George;Wald;medicine;male;18-11-1906;US
1945;Gabriela;Mistral;literature;female;1889-04-07;CL
2020;Paul;Milgrom;economics;male;20-04-1948;US
2016;David J.;Thouless;physics;male;21-09-1934;GB
