leto;ime;priimek;kategorija;spol;datum rojstva;drzava rojstva
1998;Walter;Kohn;chemistry;male;09-03-1923;AT
1975;Andrei;Sakharov;peace;male;21-05-1921;RU
1963;International Committee of the Red Cross;;peace;org;1863-00-00;
2015;Tomas;Lindahl;chemistry;male;28-01-1938;SE
1937;Norman;Haworth;chemistry;male;1883-03-19;GB
