ID,ime,pozicija,drzava,leto_rojstva,st_tekem,zacetna_poz,minute,goli,asistence,rumeni,rdeci
44,Victor Bernth Kristiansen,DF-MF,Denmark,2002,4,2,156,0,1,0,0
85,Diogo Costa,GK,Portugal,1999,5,5,510,0,0,0,0
128,Joao Felix,MF-FW,Portugal,1999,2,1,105,0,0,0,0
154,Alex Grimaldo,DF,Spain,1995,2,1,115,0,0,0,0
185,Goncalo Inacio,DF,Portugal,2001,2,1,118,0,0,0,0
230,Aymeric Laporte,DF,Spain,1994,6,6,525,0,0,0,0
282,Alvaro Morata,FW,Spain,1992,7,6,449,1,1,2,0
302,Matheus Nunes,MF,Portugal,1998,2,0,18,0,0,0,0
327,Jordan Pickford,GK,England,1994,7,7,690,0,0,0,0
357,Fabian Ruiz Pena,MF,Spain,1996,6,6,540,2,2,1,0
389,Unai Simon,GK,Spain,1997,6,6,570,0,0,1,0
444,Dayot Upamecano,DF,France,1998,6,6,570,0,0,0,0
492,Martin Zubimendi,MF,Spain,1999,4,1,141,0,0,0,0
187,Erik Janza,DF,Slovenia,1993,3,3,269,1,0,2,0
