avtor;naslov;zbirka;ocena;strani;zanri
Dan Brown;Angels & Demons;Robert Langdon;390;736;Fiction,Mystery,Thriller,Suspense,Mystery Thriller,Adventure,Crime,Historical Fiction,Novels,Adult
Cassandra Clare;City of Bones;The Mortal Instruments;410;485;Fantasy,Young Adult,Paranormal,Romance,Urban Fantasy,Fiction,Vampires,Supernatural,Angels,Magic
Suzanne Collins;Mockingjay;The Hunger Games;404;390;Young Adult,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,Teen,Post Apocalyptic,Science Fiction Fantasy
