avtor;naslov;zbirka;ocena;strani;zanri
Rainbow Rowell;Eleanor & Park;;405;328;Young Adult,Romance,Contemporary
William Shakespeare;Romeo and Juliet;;375;301;Classics,Plays,Fiction
Dan Brown;Angels & Demons;Robert Langdon;390;736;Fiction,Mystery,Thriller
Cassandra Clare;City of Bones;The Mortal Instruments;410;485;Fantasy,Young Adult,Paranormal
