leto,zmagovalec,drzava,cas,milje,kilometri
1946,Stylianos Kyriakides,Greece,02:29:27,26.2,42.2
1909,Henri Renaud,United States,02:53:36,24.5,39.4
1988,Rosa Mota,Portugal,2:24:30,26.2,42.2
1979,Joan Benoit,,2:35:15,26.2,42.2
1910,Fred S. Cameron,Canada,02:28:52,24.5,39.4
2001,Catherine Ndereba,Kenya,2:23:53,26.2,42.2
,Olga Markova,Russia,2:25:27,26.2,42.2
